timestamp,event_type,location,notes
2026-04-15 10:30:00,accident,artificial grass,purple diarrhea
2026-04-15 19:05:00,accident,carpet,
2026-04-15 20:35:00,pee,artificial grass,
2026-04-15 20:55:00,poop,inside,diarrhea - red/purple color
2026-04-16 14:45:00,pee,unknown,signaled he needed to pee
2026-04-16 15:40:00,pee,unknown,signaled he needed to pee
2026-04-17 01:30:00,pee,unknown,late night
2026-04-17 07:35:00,pee,unknown,morning
2026-04-17 07:40:00,poop,carpet,tried to redirect to mat but went to carpet
2026-04-17 14:45:00,pee,unknown,1 of 3
2026-04-17 14:45:00,pee,unknown,2 of 3
2026-04-17 14:45:00,pee,unknown,3 of 3
2026-04-17 18:00:00,pee,various,avoiding pee room - peeing around apartment instead
2026-04-17 19:20:00,poop,unknown,small poop
2026-04-17 19:20:00,pee,unknown,
2026-04-17 21:50:00,pee,unknown,
2026-04-18 08:00:00,pee,unknown,
2026-04-18 08:10:00,poop,unknown,solid and healthy looking
2026-04-18 11:05:00,pee,unknown,
2026-04-18 11:15:00,poop,unknown,
2026-04-18 14:40:00,pee,unknown,
2026-04-18 16:35:00,pee,unknown,
2026-04-18 16:35:00,poop,unknown,
2026-04-19 08:10:00,pee,unknown,
2026-04-19 08:20:00,poop,unknown,
2026-04-20 07:30:00,pee,unknown,
2026-04-20 07:45:00,poop,unknown,
2026-04-20 08:20:00,poop,unknown,
2026-04-20 11:00:00,pee,unknown,
2026-04-20 12:15:00,pee,wrong spot,twice - wrong location
2026-04-20 12:15:00,pee,wrong spot,twice - wrong location
2026-04-20 16:45:00,pee,wrong spot,1 of 3 - wrong location
2026-04-20 16:45:00,pee,wrong spot,2 of 3 - wrong location
2026-04-20 16:45:00,pee,wrong spot,3 of 3 - wrong location
2026-04-20 17:00:00,poop,unknown,
2026-04-20 18:10:00,pee,grass,woke from crate - peed on grass
2026-04-20 19:47:00,pee,unknown,
2026-04-20 19:50:00,poop,unknown,
2026-04-21 09:15:00,pee,unknown,
2026-04-21 11:00:00,pee,unknown,
2026-04-21 12:05:00,poop,unknown,
2026-04-21 15:30:00,pee,unknown,
2026-04-21 21:35:00,pee,unknown,
2026-04-21 21:40:00,pee,unknown,
2026-04-21 22:39:00,poop,unknown,
2026-04-22 16:30:00,pee,unknown,
2026-04-22 16:30:00,poop,unknown,
2026-04-23 09:30:00,pee,unknown,small amount
2026-04-25 09:00:00,poop,unknown,1 of 2 - excessive pooping episode
2026-04-25 09:00:00,poop,unknown,2 of 2 - excessive pooping episode
2026-04-26 07:17:00,pee,unknown,
2026-04-26 07:25:00,poop,unknown,
2026-04-26 10:35:00,pee,unknown,
2026-04-26 10:45:00,poop,unknown,
2026-04-26 11:40:00,pee,unknown,
2026-04-26 13:35:00,pee,unknown,immediately after waking from crate
2026-04-26 14:28:00,poop,unknown,
2026-04-29 08:03:11,pee,,
2026-04-29 12:55:46,pee,,
2026-04-29 12:57:32,pee,,test note from curl
